"EventID","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"7040","wks01-erik","System.Byte[]","2282","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","1073748864","12/10/2023 6:02:32 PM","12/10/2023 6:02:32 PM","NT AUTHORITY\SYSTEM",,
"7040","wks01-erik","System.Byte[]","2281","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","1073748864","12/10/2023 6:00:26 PM","12/10/2023 6:00:26 PM","NT AUTHORITY\SYSTEM",,
"6013","wks01-erik","System.Byte[]","2280","(0)","0","Information","The system uptime is 4288770 seconds.","EventLog","System.String[]","2147489661","12/10/2023 12:00:00 PM","12/10/2023 12:00:00 PM",,,
"7040","wks01-erik","System.Byte[]","2279","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","1073748864","12/10/2023 3:02:37 AM","12/10/2023 3:02:37 AM","NT AUTHORITY\SYSTEM",,
"7040","wks01-erik","System.Byte[]","2278","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","1073748864","12/10/2023 3:00:26 AM","12/10/2023 3:00:26 AM","NT AUTHORITY\SYSTEM",,
"1","wks01-erik","System.Byte[]","2277","(5)","5","Information","Possible detection of CVE: 2023-12-10T03:40:10.927954400Z
Additional Information: 2023-12-10T03:40:10.925224200Z

This Event is generated when an attempt to exploit a known vulnerability (2023-12-10T03:40:10.927954400Z) is detected.
This Event is raised by a User mode process.
","Microsoft-Windows-Kernel-General","System.String[]","1","12/9/2023 10:40:10 PM","12/9/2023 10:40:10 PM","NT AUTHORITY\LOCAL SERVICE",,
"1","wks01-erik","System.Byte[]","2276","(5)","5","Information","Possible detection of CVE: 2023-12-10T03:40:10.912991200Z
Additional Information: 2023-12-10T03:40:10.909607600Z

This Event is generated when an attempt to exploit a known vulnerability (2023-12-10T03:40:10.912991200Z) is detected.
This Event is raised by a User mode process.
","Microsoft-Windows-Kernel-General","System.String[]","1","12/9/2023 10:40:10 PM","12/9/2023 10:40:10 PM","NT AUTHORITY\LOCAL SERVICE",,
"35","wks01-erik","System.Byte[]","2275","(0)","0","Information","The time service is now synchronizing the system time with the time source time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->168.61.215.74:123) with reference id 1255620008. Current local stratum number is 4.","Microsoft-Windows-Time-Service","System.String[]","35","12/9/2023 10:40:10 PM","12/9/2023 10:40:10 PM","NT AUTHORITY\LOCAL SERVICE",,
"1","wks01-erik","System.Byte[]","2274","(5)","5","Information","Possible detection of CVE: 2023-12-10T03:40:10.894806100Z
Additional Information: 2023-12-10T03:40:08.757911600Z

This Event is generated when an attempt to exploit a known vulnerability (2023-12-10T03:40:10.894806100Z) is detected.
This Event is raised by a User mode process.
","Microsoft-Windows-Kernel-General","System.String[]","1","12/9/2023 10:40:10 PM","12/9/2023 10:40:10 PM","NT AUTHORITY\LOCAL SERVICE",,
"37","wks01-erik","System.Byte[]","2273","(0)","0","Information","The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->168.61.215.74:123).","Microsoft-Windows-Time-Service","System.String[]","37","12/9/2023 10:39:54 PM","12/9/2023 10:39:54 PM","NT AUTHORITY\LOCAL SERVICE",,
"19","wks01-erik","System.Byte[]","2272","(1)","1","Information","Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.403.236.0) - Current Channel (Broad)","Microsoft-Windows-WindowsUpdateClient","System.String[]","19","12/9/2023 9:16:26 PM","12/9/2023 9:16:26 PM","NT AUTHORITY\SYSTEM",,
"43","wks01-erik","System.Byte[]","2271","(1)","1","Information","Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.403.236.0) - Current Channel (Broad)","Microsoft-Windows-WindowsUpdateClient","System.String[]","43","12/9/2023 9:15:58 PM","12/9/2023 9:15:58 PM","NT AUTHORITY\SYSTEM",,
