"PSComputerName","__GENUS","__CLASS","__SUPERCLASS","__DYNASTY","__RELPATH","__PROPERTY_COUNT","__DERIVATION","__SERVER","__NAMESPACE","__PATH","ArpAlwaysSourceRoute","ArpUseEtherSNAP","Caption","DatabasePath","DeadGWDetectEnabled","DefaultIPGateway","DefaultTOS","DefaultTTL","Description","DHCPEnabled","DHCPLeaseExpires","DHCPLeaseObtained","DHCPServer","DNSDomain","DNSDomainSuffixSearchOrder","DNSEnabledForWINSResolution","DNSHostName","DNSServerSearchOrder","DomainDNSRegistrationEnabled","ForwardBufferMemory","FullDNSRegistrationEnabled","GatewayCostMetric","IGMPLevel","Index","InterfaceIndex","IPAddress","IPConnectionMetric","IPEnabled","IPFilterSecurityEnabled","IPPortSecurityEnabled","IPSecPermitIPProtocols","IPSecPermitTCPPorts","IPSecPermitUDPPorts","IPSubnet","IPUseZeroBroadcast","IPXAddress","IPXEnabled","IPXFrameType","IPXMediaType","IPXNetworkNumber","IPXVirtualNetNumber","KeepAliveInterval","KeepAliveTime","MACAddress","MTU","NumForwardPackets","PMTUBHDetectEnabled","PMTUDiscoveryEnabled","ServiceName","SettingID","TcpipNetbiosOptions","TcpMaxConnectRetransmissions","TcpMaxDataRetransmissions","TcpNumConnections","TcpUseRFC1122UrgentPointer","TcpWindowSize","WINSEnableLMHostsLookup","WINSHostLookupFile","WINSPrimaryServer","WINSScopeID","WINSSecondaryServer"
"WKS01-ERIK","2","Win32_NetworkAdapterConfiguration","CIM_Setting","CIM_Setting","Win32_NetworkAdapterConfiguration.Index=0","61","System.String[]","WKS01-ERIK","root\cimv2","\\WKS01-ERIK\root\cimv2:Win32_NetworkAdapterConfiguration.Index=0",,,"[00000000] Microsoft Kernel Debug Network Adapter",,,,,,"Microsoft Kernel Debug Network Adapter","True",,,,,,,,,,,,,,"0","4",,,"False",,,,,,,,,,,,,,,,,,,,,"kdnic","{248AAC08-7C1B-499A-8709-BE7327CB3EB9}",,,,,,,,,,,
"WKS01-ERIK","2","Win32_NetworkAdapterConfiguration","CIM_Setting","CIM_Setting","Win32_NetworkAdapterConfiguration.Index=1","61","System.String[]","WKS01-ERIK","root\cimv2","\\WKS01-ERIK\root\cimv2:Win32_NetworkAdapterConfiguration.Index=1",,,"[00000001] Intel(R) 82574L Gigabit Network Connection","%SystemRoot%\System32\drivers\etc",,"System.String[]",,,"Intel(R) 82574L Gigabit Network Connection","True","20231213204142.000000-300","20231212204142.000000-300","10.0.17.2",,"System.String[]","False","wks01-erik","System.String[]","False",,"True","System.UInt16[]",,"1","3","System.String[]","25","True","False",,"System.String[]","System.String[]","System.String[]","System.String[]",,,,,,,,,,"00:50:56:A1:BB:BF",,,,,"e1iexpress","{195AB36E-9C3D-40D0-9032-4B33B949D170}","0",,,,,,"True",,,"",
